WorkOrderID,UnitID,ReportedByEntityID,ReportedByEntityType,SubmissionDate,Description,Category,Status,ValidationDate,ScheduledDate,CompletionDate,VerificationDate,ClosedDate,InvoiceReceivedDate,InvoicePaidDate,VendorID,EstimatedCost,ActualCost,OwnerApprovalRequired,OwnerApprovalDate,OwnerFundsReceivedDate,IsMakeReadyTurnover,TurnoverID
WO1,U1,T1,Tenant,10/06/2024 09:00,Leaky faucet in kitchen,Plumbing,Closed,10/06/2024 10:00,11/06/2024 08:00,11/06/2024 11:00,12/06/2024 09:00,12/06/2024 10:00,11/06/2024,15/06/2024,V1,150,165,FALSE,,,FALSE,
WO2,U4,Staff,Staff,01/06/2024 09:00,Full make-ready cleaning and touch-up paint,Cleaning/Paint,Closed,01/06/2024 10:00,03/06/2024 08:00,04/06/2024 17:00,05/06/2024 09:00,05/06/2024 10:00,04/06/2024,10/06/2024,V2,800,750,FALSE,,,TRUE,T1
WO3,U5B,Staff,Staff,16/06/2024 08:00,"Repair hole in drywall, repaint living room",Drywall/Paint,Verified,16/06/2024 09:00,18/06/2024 08:00,19/06/2024 17:00,20/06/2024 09:00,,19/06/2024,,V3,500,550,FALSE,,,TRUE,T2
WO4,U8B,Staff,Staff,01/07/2024 09:00,Replace damaged flooring in kitchen,Flooring,Completed,01/07/2024 10:00,03/07/2024 08:00,05/07/2024 17:00,02/07/2024 10:00,03/07/2024 09:00,05/07/2024,,V4,1200,1350,TRUE,,,TRUE,T3
WO5,U11B,Staff,Staff,02/07/2024 08:00,Deep clean and carpet cleaning,Cleaning,Closed,02/07/2024 09:00,03/07/2024 08:00,03/07/2024 12:00,05/07/2024 09:00,05/07/2024 10:00,03/07/2024,10/07/2024,V2,300,280,FALSE,,,TRUE,T4
WO6,U14B,Staff,Staff,02/07/2024 09:00,Replace light fixtures in bedrooms,Electrical,Verified,02/07/2024 10:00,05/07/2024 08:00,05/07/2024 11:00,08/07/2024 09:00,09/07/2024 10:00,05/07/2024,12/07/2024,V5,250,220,FALSE,,,TRUE,T5
WO7,U1,T1,Tenant,01/07/2024 10:00,AC not cooling,HVAC,Closed,01/07/2024 11:00,01/07/2024 14:00,01/07/2024 16:00,02/07/2024 09:00,02/07/2024 10:00,01/07/2024,05/07/2024,V6,350,400,FALSE,,,FALSE,
WO8,U2,T2,Tenant,15/06/2024 09:00,Dishwasher not draining,Appliance,Closed,15/06/2024 10:00,17/06/2024 09:00,17/06/2024 11:00,18/06/2024 09:00,18/06/2024 10:00,17/06/2024,20/06/2024,V7,200,210,FALSE,,,FALSE,
WO9,U3,T3,Tenant,10/07/2024 14:00,Garbage disposal jammed,Plumbing,Closed,10/07/2024 14:30,10/07/2024 16:00,10/07/2024 17:00,11/07/2024 09:00,11/07/2024 10:00,10/07/2024,15/07/2024,V1,100,90,FALSE,,,FALSE,
WO10,U6,T7,Tenant,20/06/2024 11:00,Garage door opener broken,Garage,Closed,20/06/2024 12:00,21/06/2024 09:00,21/06/2024 10:00,24/06/2024 09:00,24/06/2024 10:00,21/06/2024,25/06/2024,V8,300,325,FALSE,,,FALSE,
WO11,U7,T8,Tenant,28/08/2024 10:00,Patch and paint small wall damage,Drywall/Paint,Closed,28/08/2024 11:00,29/08/2024 09:00,29/08/2024 11:00,30/08/2024 09:00,30/08/2024 10:00,29/08/2024,03/09/2024,V3,200,190,FALSE,,,TRUE,T6
WO12,U9,T11,Tenant,05/07/2024 09:00,Loose railing on front porch,Handyman,Closed,05/07/2024 10:00,08/07/2024 09:00,08/07/2024 10:00,09/07/2024 09:00,09/07/2024 10:00,08/07/2024,12/07/2024,V9,150,140,FALSE,,,FALSE,
WO13,U10,T12,Tenant,01/06/2024 10:00,Replace worn carpet in living room,Flooring,Closed,01/06/2024 11:00,05/06/2024 08:00,06/06/2024 17:00,07/06/2024 09:00,07/06/2024 10:00,06/06/2024,10/06/2024,V4,800,850,TRUE,,,FALSE,
WO14,U12,T14,Tenant,15/07/2024 14:00,Inspect roof for leak source,Roofing,Closed,15/07/2024 15:00,18/07/2024 09:00,18/07/2024 11:00,19/07/2024 09:00,19/07/2024 10:00,18/07/2024,25/07/2024,V10,400,380,FALSE,,,FALSE,
WO15,U13,T15,Tenant,05/06/2024 09:00,Fix running toilet,Plumbing,Closed,05/06/2024 10:00,06/06/2024 08:00,06/06/2024 09:00,07/06/2024 09:00,07/06/2024 10:00,06/06/2024,10/06/2024,V1,120,130,FALSE,,,FALSE,
WO16,U15,T17,Tenant,01/07/2024 11:00,Dryer not heating,Appliance,Closed,01/07/2024 12:00,02/07/2024 09:00,02/07/2024 10:00,03/07/2024 09:00,03/07/2024 10:00,02/07/2024,05/07/2024,V7,250,265,FALSE,,,FALSE,
WO17,U4,Staff,Staff,01/06/2024 09:30,Carpet cleaning after move-out,Cleaning,Closed,01/06/2024 10:30,03/06/2024 13:00,03/06/2024 16:00,05/06/2024 09:00,05/06/2024 10:00,03/06/2024,10/06/2024,V2,150,140,FALSE,,,TRUE,T1
WO18,U5B,Staff,Staff,16/06/2024 08:30,Deep cleaning for make-ready,Cleaning,Verified,16/06/2024 09:30,18/06/2024 13:00,19/06/2024 12:00,20/06/2024 09:00,24/06/2024 10:00,25/06/2024,25/06/2024,V2,200,190,FALSE,,,TRUE,T2
WO19,U8B,Staff,Staff,01/07/2024 09:30,Full interior paint,Paint,Completed,01/07/2024 10:30,03/07/2024 13:00,05/07/2024 12:00,08/07/2024 09:00,09/07/2024 10:00,05/07/2024,12/07/2024,V3,700,680,FALSE,,,TRUE,T3
WO20,U14B,Staff,Staff,02/07/2024 09:30,Minor drywall patch in living room,Drywall,Verified,02/07/2024 10:30,05/07/2024 13:00,05/07/2024 15:00,08/07/2024 09:00,09/07/2024 10:00,05/07/2024,12/07/2024,V3,150,160,FALSE,,,TRUE,T5
WO21,U21,T21,Tenant,01/03/2024 09:00,Running toilet in master bath,Plumbing,Closed,01/03/2024 10:00,04/03/2024 08:00,04/03/2024 09:00,05/03/2024 09:00,05/03/2024 10:00,04/03/2024,10/03/2024,V1,100,110,FALSE,,,FALSE,
WO22,U24,Staff,Staff,01/06/2024 09:00,Deep cleaning for turnover,Cleaning,Closed,01/06/2024 10:00,03/06/2024 08:00,03/06/2024 17:00,04/06/2024 09:00,04/06/2024 10:00,03/06/2024,10/06/2024,V2,300,280,FALSE,,,TRUE,T7
WO23,U25B,Staff,Staff,11/06/2024 08:00,Repair scratch on hardwood floor,Flooring,Verified,11/06/2024 09:00,13/06/2024 08:00,14/06/2024 17:00,17/06/2024 09:00,,14/06/2024,,V4,600,650,FALSE,,,TRUE,T8
WO24,U28B,Staff,Staff,02/07/2024 09:00,Install new blinds in living room,Handyman,Completed,02/07/2024 10:00,03/07/2024 08:00,03/07/2024 10:00,,,03/07/2024,,V9,200,210,FALSE,,,TRUE,T9
WO25,U31B,Staff,Staff,08/07/2024 08:00,Touch-up paint in kitchen and bath,Paint,Closed,08/07/2024 09:00,09/07/2024 08:00,09/07/2024 12:00,10/07/2024 09:00,10/07/2024 10:00,09/07/2024,15/07/2024,V3,400,380,FALSE,,,TRUE,T10
WO26,U34B,Staff,Staff,18/07/2024 09:00,Replace cracked window pane,Glass,Verified,18/07/2024 10:00,20/07/2024 09:00,20/07/2024 11:00,22/07/2024 09:00,,20/07/2024,,V14,300,320,FALSE,,,TRUE,T11
WO27,U37B,Staff,Staff,25/07/2024 09:00,Check and clean gutters,Handyman,Closed,25/07/2024 10:00,26/07/2024 08:00,26/07/2024 10:00,29/07/2024 09:00,29/07/2024 10:00,26/07/2024,31/07/2024,V9,150,140,FALSE,,,TRUE,T12
WO28,U40B,Staff,Staff,29/07/2024 10:00,Full interior cleaning,Cleaning,Completed,29/07/2024 11:00,30/07/2024 08:00,31/07/2024 17:00,,,31/07/2024,,V2,250,240,FALSE,,,TRUE,T13
WO29,U45B,Staff,Staff,01/08/2024 08:00,Pressure wash exterior,Cleaning,Verified,01/08/2024 09:00,05/08/2024 08:00,06/08/2024 17:00,07/08/2024 09:00,,06/08/2024,06/08/2024,V2,500,480,TRUE,02/08/2024 10:00,03/08/2024 09:00,TRUE,T14
WO30,U48B,Staff,Staff,08/08/2024 09:00,Replace faulty smoke detector,Electrical,Completed,08/08/2024 10:00,09/08/2024 09:00,09/08/2024 10:00,,,09/08/2024,,V5,100,95,FALSE,,,TRUE,T15
WO31,U2,T2,Tenant,20/07/2024 10:00,Bedroom window won't lock,Handyman,Closed,20/07/2024 11:00,22/07/2024 09:00,22/07/2024 10:00,23/07/2024 09:00,23/07/2024 10:00,22/07/2024,26/07/2024,V9,75,80,FALSE,,,FALSE,
WO32,U3,T3,Tenant,05/08/2024 09:00,Patio door sticky,Handyman,Closed,05/08/2024 10:00,06/08/2024 08:00,06/08/2024 09:00,07/08/2024 09:00,07/08/2024 10:00,06/08/2024,10/08/2024,V9,60,55,FALSE,,,FALSE,
WO33,U5A,T5,Tenant,01/07/2024 14:00,Kitchen sink clogged,Plumbing,Closed,01/07/2024 14:30,01/07/2024 16:00,01/07/2024 17:00,02/07/2024 09:00,02/07/2024 10:00,01/07/2024,05/07/2024,V1,120,130,FALSE,,,FALSE,
WO34,U6,T7,Tenant,10/07/2024 11:00,Sprinkler head broken,Landscaping,Closed,10/07/2024 12:00,12/07/2024 09:00,12/07/2024 10:00,15/07/2024 09:00,15/07/2024 10:00,12/07/2024,18/07/2024,V11,80,90,FALSE,,,FALSE,
WO35,U9,T11,Tenant,25/07/2024 09:00,Small leak under bathroom sink,Plumbing,Closed,25/07/2024 10:00,26/07/2024 08:00,26/07/2024 09:00,29/07/2024 09:00,29/07/2024 10:00,26/07/2024,01/08/2024,V1,110,100,FALSE,,,FALSE,
WO36,U10,T12,Tenant,01/08/2024 10:00,Light flickering in bedroom,Electrical,Closed,01/08/2024 11:00,02/08/2024 09:00,02/08/2024 10:00,05/08/2024 09:00,05/08/2024 10:00,02/08/2024,10/08/2024,V5,70,65,FALSE,,,FALSE,
WO37,U12,T14,Tenant,10/08/2024 14:00,Broken fence post,Handyman,Closed,10/08/2024 14:30,13/08/2024 08:00,13/08/2024 10:00,14/08/2024 09:00,14/08/2024 10:00,13/08/2024,20/08/2024,V9,180,170,FALSE,,,FALSE,
WO38,U13,T15,Tenant,15/08/2024 09:00,Wasp nest on porch,Pest Control,Closed,15/08/2024 10:00,16/08/2024 08:00,16/08/2024 09:00,19/08/2024 09:00,19/08/2024 10:00,16/08/2024,22/08/2024,V13,100,95,FALSE,,,FALSE,
WO39,U14A,T16,Tenant,01/07/2024 11:00,Hallway light out,Electrical,Closed,01/07/2024 12:00,02/07/2024 09:00,02/07/2024 09:30,03/07/2024 09:00,03/07/2024 10:00,02/07/2024,05/07/2024,V5,50,45,FALSE,,,FALSE,
WO40,U15,T17,Tenant,01/08/2024 11:00,Oven not heating,Appliance,Closed,01/08/2024 12:00,05/08/2024 09:00,05/08/2024 10:00,06/08/2024 09:00,06/08/2024 10:00,05/08/2024,10/08/2024,V7,200,210,FALSE,,,FALSE,
WO41,U21,T21,Tenant,10/04/2024 09:00,Smoke detector beeping low battery,Safety,Closed,10/04/2024 09:15,10/04/2024 10:00,10/04/2024 10:15,11/04/2024 09:00,11/04/2024 10:00,10/04/2024,15/04/2024,V5,50,50,FALSE,,,FALSE,
WO42,U22,T22,Tenant,15/04/2024 09:00,GFI outlet tripped and won't reset,Electrical,Closed,15/04/2024 10:00,16/04/2024 09:00,16/04/2024 10:00,17/04/2024 09:00,17/04/2024 10:00,16/04/2024,20/04/2024,V5,100,95,FALSE,,,FALSE,
WO43,U23,T23,Tenant,01/05/2024 09:00,Toilet flush handle loose,Plumbing,Closed,01/05/2024 09:30,01/05/2024 14:00,01/05/2024 14:30,02/05/2024 09:00,02/05/2024 10:00,01/05/2024,05/05/2024,V1,75,70,FALSE,,,FALSE,
WO44,U24,Staff,Staff,01/06/2024 09:30,Minor wall repairs and paint touch up,Drywall/Paint,Closed,01/06/2024 10:30,04/06/2024 08:00,05/06/2024 17:00,06/06/2024 09:00,06/06/2024 10:00,05/06/2024,12/06/2024,V3,500,520,FALSE,,,TRUE,T7
WO45,U25B,Staff,Staff,11/06/2024 08:30,Full interior paint,Paint,Verified,11/06/2024 09:30,15/06/2024 08:00,17/06/2024 17:00,18/06/2024 09:00,,17/06/2024,,V3,700,680,FALSE,,,TRUE,T8
WO46,U28B,Staff,Staff,02/07/2024 09:30,Deep clean and carpet cleaning,Cleaning,Completed,02/07/2024 10:30,03/07/2024 13:00,03/07/2024 16:00,,,03/07/2024,,V2,300,290,FALSE,,,TRUE,T9
WO47,U31B,Staff,Staff,08/07/2024 08:30,Replace light fixtures,Electrical,Closed,08/07/2024 09:30,10/07/2024 09:00,10/07/2024 10:00,11/07/2024 09:00,11/07/2024 10:00,10/07/2024,15/07/2024,V5,200,220,FALSE,,,TRUE,T10
WO48,U34B,Staff,Staff,18/07/2024 09:30,Repair broken fence,Handyman,Verified,18/07/2024 10:30,22/07/2024 08:00,24/07/2024 17:00,25/07/2024 09:00,,24/07/2024,,V9,400,380,TRUE,19/07/2024 10:00,20/07/2024 09:00,TRUE,T11
WO49,U37B,Staff,Staff,25/07/2024 09:30,Touch up paint and minor drywall,Drywall/Paint,Closed,25/07/2024 10:30,29/07/2024 08:00,30/07/2024 17:00,31/07/2024 09:00,31/07/2024 10:00,30/07/2024,05/08/2024,V3,350,330,FALSE,,,TRUE,T12
WO50,U40B,Staff,Staff,29/07/2024 10:30,Carpet cleaning,Cleaning,Completed,29/07/2024 11:30,30/07/2024 13:00,30/07/2024 16:00,,,30/07/2024,,V2,150,140,FALSE,,,TRUE,T13
